Name,Team,Position,Expert Rank
Jake Browning,TB,QB,281.00
Tai Felton,MIN,WR,281.50
Audric Estime,NO,RB,281.50
Jalen Royals,KC,WR,281.83
Adam Thielen,,WR,282.50
Amari Cooper,,WR,282.50
Darren Waller,,TE,282.80
Erick All,CIN,TE,283.00
Jalen Tolbert,MIA,WR,283.00
Miles Sanders,,RB,284.00
Spencer Rattler,NO,QB,284.63
Aidan O'Connell,LV,QB,286.00
Darnell Washington,PIT,TE,287.00
Jameis Winston,NYG,QB,288.57
Dyami Brown,WAS,WR,288.67
Tyler Lockett,,WR,291.00
Justice Hill,BAL,RB,292.33
DeAndre Hopkins,,WR,292.67
Will Howard,PIT,QB,292.75
Malachi Corley,CLE,WR,293.00
Noah Brown,,WR,293.00
Will Levis,TEN,QB,293.00
Dawson Knox,BUF,TE,294.00
John Metchie,CAR,WR,294.25
Daniel Bellinger,TEN,TE,294.50
Jalin Hyatt,NYG,WR,296.00
Joe Milton,DAL,QB,296.75
Derek Carr,,QB,297.00
Damien Martinez,GB,RB,297.33
Austin Ekeler,,RB,297.40
Devin Singletary,NYG,RB,297.50
Jimmy Horn Jr.,CAR,WR,298.00
LeQuint Allen,JAX,RB,301.75
Raheem Mostert,,RB,302.00
Javon Baker,,WR,302.00
Will Shipley,PHI,RB,303.60
Dameon Pierce,PHI,RB,303.67
Noah Fant,NO,TE,304.50
Calvin Austin,NYG,WR,306.00
Sam Howell,DAL,QB,306.00
Darius Slayton,NYG,WR,306.17
Jaylin Lane,WAS,WR,307.25
Antonio Gibson,,RB,307.67
Phil Mafah,DAL,RB,308.00
Kalel Mullings,TEN,RB,309.00
Jaleel McLaughlin,DEN,RB,309.00
Jonathan Mingo,DAL,WR,309.00
Keandre Lambert-Smith,LAC,WR,309.00
Quinn Ewers,MIA,QB,309.67
Nick Westbrook-Ikhine,IND,WR,310.00
Samaje Perine,CIN,RB,310.75
Tyquan Thornton,KC,WR,312.00
Brandin Cooks,,WR,312.00
Zonovan Knight,ARI,RB,315.33
Tutu Atwell,MIA,WR,316.00
Luke McCaffrey,WAS,WR,316.00
Luke Schoonmaker,DAL,TE,316.67
Arian Smith,NYJ,WR,318.00
Deuce Vaughn,DEN,RB,318.50
Jared Wiley,KC,TE,321.00
Jermaine Burton,,WR,321.33
LaJohntay Wester,BAL,WR,323.00
Emari Demercado,KC,RB,323.00
Tahj Washington,MIA,WR,324.00
Tyler Higbee,LAR,TE,325.00
Will Dissly,,TE,326.00
Marcus Mariota,WAS,QB,327.50
Kendrick Bourne,ARI,WR,329.33
Tyler Conklin,DET,TE,330.00
